customer_id,age,gender,region,product,category,purchase_channel,payment_method,order_value_inr,rating,issue_type,issue_resolved,feedback,review,customer_emotion,customer_happy,review_date
CUST00001,26,Other,North,Laptop,Computers,Website,Net Banking,416.92,5,Poor Quality,Yes,I am very happy with the laptop. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-01-31
CUST00002,53,Male,Central,Laptop,Computers,Marketplace,Credit Card,527.75,4,Poor Quality,No,I did not expect the laptop to be this good. What a pleasant surprise!,Surprisingly better than expected.,Surprise,Yes,2025-01-07
CUST00003,31,Female,North,Headphones,Audio,Website,Cash on Delivery,1411.96,1,None,No,This is unacceptable. I received the wrong headphones.,Very angry and frustrated.,Angry,No,2025-12-19
CUST00004,42,Male,Central,Speaker,Audio,Store,Net Banking,511.31,3,Damaged Product,Yes,The speaker stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-03-13
CUST00005,24,Female,East,Smartphone,Electronics,Marketplace,Debit Card,2260.21,4,Late Delivery,No,Great value for money. The smartphone is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-12-30
CUST00006,56,Other,South,Smartwatch,Wearables,Mobile App,Credit Card,1047.09,5,Poor Quality,No,Great value for money. The smartwatch is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-10-04
CUST00007,70,Male,East,Monitor,Computers,Marketplace,Debit Card,1159.38,5,None,Yes,I am very happy with the monitor. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-11-19
CUST00008,27,Female,South,Smartwatch,Wearables,Mobile App,Net Banking,915.12,5,Wrong Item,No,I was surprised by the features and performance of the smartwatch.,The product surprised me in a good way.,Surprise,Yes,2026-03-15
CUST00009,23,Male,North,Speaker,Audio,Mobile App,Credit Card,1812.3,2,Support Delay,No,The speaker stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-03-07
CUST00010,53,Male,North,Keyboard,Accessories,Store,Debit Card,1824.49,2,None,No,Worst purchase ever! The keyboard is defective and nobody resolved my complaint.,I am furious with the service.,Angry,No,2026-03-22
CUST00011,50,Male,Central,Headphones,Audio,Website,Debit Card,1363.47,4,Support Delay,Yes,Loved the headphones! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-06-06
CUST00012,49,Male,North,Camera,Photography,Store,Debit Card,1583.06,5,Late Delivery,Yes,I did not expect the camera to be this good. What a pleasant surprise!,Surprisingly better than expected.,Surprise,Yes,2025-09-04
CUST00013,66,Other,South,Speaker,Audio,Mobile App,Cash on Delivery,955.41,1,Wrong Item,Yes,I am extremely angry. The speaker arrived damaged and support did not help.,Terrible service and unacceptable experience.,Angry,No,2025-09-29
CUST00014,63,Female,West,Monitor,Computers,Store,Cash on Delivery,1559.99,5,Wrong Item,No,Great value for money. The monitor is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-05-04
CUST00015,55,Male,North,Smartwatch,Wearables,Website,UPI,880.4,4,Late Delivery,Yes,I am very happy with the smartwatch. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-02-02
CUST00016,31,Other,South,Camera,Photography,Marketplace,Credit Card,1098.23,5,Poor Quality,No,I am very happy with the camera. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-07-14
CUST00017,44,Female,North,Laptop,Computers,Website,UPI,917.34,5,Poor Quality,No,I am very happy with the laptop. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-04-22
CUST00018,45,Male,East,Smartwatch,Wearables,Marketplace,Credit Card,814.69,3,None,No,I am disappointed with the smartwatch. It did not meet my expectations.,The experience made me unhappy.,Sad,No,2025-04-11
